"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-FS-A1Z0-06A-11R-A18T-07",0.0439660176102456,0,0,0.417806421155946,0.0962357049831281,0.0740858090663396,0,0.058628845377662,0.0317399352241481,0,0.277537266582531
"TCGA-FS-A1ZH-06A-11R-A18T-07",0.0687921653423903,0.0463858543233336,0,0.333429692454743,0,0.0678703559263832,0,0.0448640197283792,0.0538685185182598,0,0.384789393706511
"TCGA-GN-A4U8-06A-11R-A32P-07",0.0596238075357271,0.0339217089962835,0.0271302959905418,0.179293358771963,0,0.0439088258272361,0,0.0766381270084682,0.0540864906798888,0.00461914748708144,0.52077823770281
"TCGA-EB-A5SH-06A-11R-A311-07",0.0539332745918993,0,0,0.29118779995039,0,0.0597622160655148,0.119915887216371,0.000762791763266572,0.0230596787515682,0.00636010307439766,0.445018248586592
"TCGA-D3-A1Q8-06A-11R-A18T-07",0.0328926055245953,0.0134653491590944,0.00707810562675196,0.628099338669636,0,0.113382110293553,0,0,0.0578347034574291,0,0.14724778726894
"TCGA-GN-A268-06A-11R-A18T-07",0.0216059943282294,0,0.0042278821886564,0.221551194490899,0.0666478101878127,0.030999494425235,0.0700682517434472,0,0.010325458118498,0,0.574573914517223
"TCGA-D3-A5GS-06A-11R-A27Q-07",0.0352484705132393,0.0176470530915601,0,0.405021335544832,0,0.0609425939788263,0,0.0420966358624287,0.0265271505386402,0,0.412516760470473
"TCGA-ER-A19T-06A-11R-A18U-07",0.00666696884687212,0,0.0652930712743669,0.505118929786973,0,0.0844127168914171,0,0,0.00852982641426392,0,0.329978486786107
"TCGA-EE-A2MN-06A-11R-A18S-07",0.0376050841621149,0.0526550348103177,0.0181736808728061,0.209724277487912,0.0343853413648439,0.030475181287885,0,0.0608219575166954,0.0331330881078293,0.00856817173212722,0.514458182657468
"TCGA-EE-A29M-06A-11R-A18T-07",0.0158003873378957,0.0115283553295653,0.0247618173618499,0,0.400844653004672,0.00710529637450948,0,0.0163304871909832,0.0201273827737668,0,0.503501620626758
"TCGA-EE-A2ML-06A-11R-A18S-07",0.0312029400332411,0.147121957773452,0.021953096306546,0.336023686294336,0,0.0459622997321356,0,0.0574375586702236,0.0594571874398773,0,0.300841273750189
"TCGA-GN-A8LK-06A-11R-A37K-07",0.00798188145388462,0,0.0288919206037202,0.0369053172997683,0,0.0117597762067783,0.0701478617639116,0,0.00794354653338695,0.063468379049907,0.772901317088643
"TCGA-D3-A3MV-06A-11R-A21D-07",0.00750888037068278,0,0,0.594384699919203,0,0.0761102990003075,0,0,0.00283904761626221,0,0.319157073093544
"TCGA-EE-A20H-06A-11R-A18S-07",0.0152121728093735,0,0,0.510010886866442,0,0.0795973181588632,0,0,0.024287243788357,0,0.370892378376965
