"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-D3-A2JK-06A-11R-A18S-07",0.00547114401785584,0.00044653090231676,0.0156787073951551,0,0,0.0244472711722472,0,0.00124731258376611,0.0908515686020046,0,0.198762382136656,0,0,0.509275696064909,0.00847036800679719,0.132614447860867,0,0,0,0.0127345712574258,0,0,0.09,0.139285109055628,1.09322229005011
"TCGA-FR-A69P-06A-21R-A311-07",0.0539637554612935,0,0.00423017331107032,0.00904718118860434,0,0.234601950055473,0,0.0182515760292205,0,0,0.15514528077254,0,0.0597964850481614,0.041405218948688,0.0293438169496971,0.273133678367679,0.0782776835462658,0,0,0.0170774114832192,0.0257257888380885,0,0.84,-0.0201667945745682,1.08933511232323
"TCGA-D9-A1JX-06A-11R-A18S-07",0.00906008247592337,0,0.0250368748062757,0.337301564737219,0,0,0.0424468240264739,0.0645479661521331,0.115042035596577,0,0.0345547162571877,0,0.0986585192417185,0.0364077471690964,0.0711726409934274,0.0711059659158642,0.0290201814866361,0,0.0367849029432717,0,0.0288599781981963,0,0.22,0.0662540043389641,1.07407799001822
"TCGA-FS-A1ZG-06A-11R-A18T-07",0.00793377523669754,0,0.00331410768913875,0,0,0.318180857280518,0,0.0172288193697027,0.123095046452231,0,0.0384743355829701,0,0,0.0324658672744038,0,0.327663132477726,0,0.00339311637218759,0.128250942264424,0,0,0,0.85,-0.0215828630639562,1.10455859468792
"TCGA-FR-A729-06A-11R-A352-07",0.0943140916275698,0,0.0692508779119809,0.257700856042707,0,0.107850667748577,0.0106355793919457,0.021301401670524,0.0880654843692803,0,0.0904922602067169,0,0.0350066368498753,0.000997335170329313,0.084893605503831,0.097801168035294,0.0416900354713689,0,0,0,0,0,0.01,0.267964861465673,0.986566052574402
"TCGA-EE-A2ME-06A-11R-A18T-07",0.0935027296912502,0,0.0153245895000941,0.209860852743249,0,0.329380574244522,0.00765300165969513,0,0.0280108672471651,0,0.0562505582052849,0,0.0224641981836743,0.0726399825650199,0.0902801758957387,0.0731332387780363,0.00149923128627065,0,0,0,0,0,0.0600000000000001,0.191118720714399,1.03228619724243
"TCGA-WE-AAA3-06A-11R-A38C-07",0,0.0264065561283127,0,0.249629335837749,0,0,0,0.0171377986959324,0.0994813829857571,0,0.0186163210012701,0.0318841487589761,0.0502105704161211,0.118672800879307,0.0536595759889765,0.216702383772971,0.0311505167681057,0,0.0864486087665223,0,0,0,0.38,0.0384939482807729,1.07047360626348
"TCGA-D3-A8GO-06A-11R-A37K-07",0.300901513198286,0.0645593557596222,0.213630346013458,0.0667876627137291,0,0.0630156202408312,0,0.0467417131193048,0.0498353001072307,0,0,0.036797406396576,0.0328275039750119,0.0799554158964017,0.00792166724434462,0.0370264953352042,0,0,0,0,0,0,0,0.552250679586144,0.836823859715896
"TCGA-EE-A29W-06A-11R-A18U-07",0,0,0,0,0,0.258539873243088,0,0,0.00933212838701349,0,0.137219884511942,0,0.0411354629511693,0.134342949123207,0.00153202073274651,0.358253010660194,0.00232281375848131,0,0.057321856632159,0,0,0,0.99,-0.0602761014665216,1.12413779953857
"TCGA-DA-A95X-06A-11R-A37K-07",0,0.00798291434850401,0.00816242845734493,0,0,0.18375825726755,0.0076074425718143,0,0.0884984107707454,0,0.109302146132531,0,0.155986408744272,0.144338292076614,0.026062303288258,0.165554755072731,0,0,0.0780290318830801,0,0.0247176093865546,0,0.73,-0.00922118758607871,1.08240389470622
